,Title,Date,Content,Image_URL
25,South Indian restaurant in Norway helping Indian chess players get a slice of home,"June 2, 2024  22:05 IST","South Indian restaurant in Norway helping Indian chess players get a slice of home June 2, 2024  22:05 ISTOne of the perks that India’s jet-setting chess players are starting to discover in their travels around the world is members of the Indian diaspora going out of their way to make the players feel at home in faraway lands.","https://images.indianexpress.com/2024/06/New-Project-2024-06-02T000621.096.jpg?resize=450,253"
26,"Rishabh Pant up the order, Arshdeep Singh with new ball, no room for Yashasvi Jaiswal: Win over  Bangladesh in warm-up game hints at India’s tactics","June 2, 2024  17:32 IST","Rishabh Pant up the order, Arshdeep Singh with new ball, no room for Yashasvi Jaiswal: Win over  Bangladesh in warm-up game hints at India’s tactics June 2, 2024  17:32 ISTPant's 53 off 32 balls before retiring out had done enough to ink him as a viable option in the top order.","https://images.indianexpress.com/2024/06/Pant-12.jpg?resize=450,253"
27,T20 World Cup 2024 Q&A: Do you have to wake up early to watch India’s matches? And other key questions answered,"June 2, 2024  05:31 IST","T20 World Cup 2024 Q&A: Do you have to wake up early to watch India’s matches? And other key questions answered June 2, 2024  05:31 ISTT20 World Cup 2024: Everything you need to know about India's matches, other fixtures, rules and the tournament in general","https://images.indianexpress.com/2024/05/New-Project-2024-05-31T202435.484.jpg?resize=450,253"
28,"UEFA Champions League Final, Real Madrid vs Dortmund Highlights: Madrid win 15th UCL title with 2-0 win at Wembley; Dani Carvajal and Vinicius Jr with the goals","June 2, 2024  03:02 IST","UEFA Champions League Final, Real Madrid vs Dortmund Highlights: Madrid win 15th UCL title with 2-0 win at Wembley; Dani Carvajal and Vinicius Jr with the goals June 2, 2024  03:02 ISTUEFA Champions League Final, Real Madrid vs Dortmund Highlights: Carlo Ancelotti became the first manager to win the European Cup five times, thrice with Real Madrid - 2014, 2022 and 2024.","https://images.indianexpress.com/2024/06/UCL-Final-2024-Madrid.jpg?resize=450,253"
29,"Paris 2024 boxing qualifiers: Sachin Siwach loses, but here’s why there is still hope for a quota","June 2, 2024  10:38 IST","Paris 2024 boxing qualifiers: Sachin Siwach loses, but here’s why there is still hope for a quota June 2, 2024  10:38 ISTHere's how Sachin Siwach is still in the mix for a Paris Olympics quota spot despite losing his semifinal bout on Saturday.","https://images.indianexpress.com/2024/06/Jasmine.jpg?resize=450,253"
30,Dinesh Karthik officially announces retirement from all forms of cricket,"June 1, 2024  19:28 IST","Dinesh Karthik officially announces retirement from all forms of cricket June 1, 2024  19:28 ISTHaving represented the country in 180 games across three formats in which he scored 3463 runs with a lone Test hundred and 17 half-centuries, Karthik also had 172 dismissals to his credit, most of them behind the stumps with a few in the outfield.","https://images.indianexpress.com/2024/05/Dinesh.jpg?resize=450,253"
31,"Singapore Open: Treesa-Gayatri’s semifinal defeat offers a steep learning curve, but giant-killing week is a positive","June 2, 2024  10:38 IST","Singapore Open: Treesa-Gayatri’s semifinal defeat offers a steep learning curve, but giant-killing week is a positive June 2, 2024  10:38 ISTEyeing a hat-trick of wins against top-10 players, the unseeded Indians were no match for the Japanese who cruised to a 23-21 21-11 win in 47 minutes.","https://images.indianexpress.com/2024/06/Badminton-11.jpg?resize=450,253"
32,"India vs Bangladesh Highlights, T20 World Cup Warm-Up: IND secure big win as Pant, Hardik and bowlers shine in New York","June 1, 2024  23:46 IST","India vs Bangladesh Highlights, T20 World Cup Warm-Up: IND secure big win as Pant, Hardik and bowlers shine in New York June 1, 2024  23:46 ISTIndia vs Bangladesh HIGHLIGHTS, T20 World Cup 2024: Rishabh Pant and Hardik Pandya's positive returns powered India to 182/5 against Bangladesh at the Nassau County International Cricket Stadium in New York.","https://images.indianexpress.com/2024/06/New-Project-2024-06-01T234455.267.jpg?resize=450,253"
33,Paris Olympics: How a crisis meeting helped India’s hockey forwards find scoring touch,"June 2, 2024  14:19 IST","Paris Olympics: How a crisis meeting helped India’s hockey forwards find scoring touch June 2, 2024  14:19 ISTAfter their 5-0 series defeat in Australia, the Indian forwards had a meeting. Honest opinions were shared. And now, in the last few matches, they are starting to click together as was seen in a solid 3-0 win against Germany.","https://images.indianexpress.com/2024/06/New-Project-2024-06-01T172052.518.jpg?resize=450,253"
34,"USA vs CAN Live Streaming, T20 World Cup 2024: When and where to watch United States vs Canada live?","June 1, 2024  17:03 IST","USA vs CAN Live Streaming, T20 World Cup 2024: When and where to watch United States vs Canada live? June 1, 2024  17:03 ISTUSA vs Canada T20 World Cup 2024 Live Streaming: The Indian Express gives all the live streaming details of the T20 World Cup game between United States and Canada on Sunday.","https://images.indianexpress.com/2024/06/New-Project-2024-06-01T170042.502.jpg?resize=450,253"
35,ReBorn in the USA: Cricket in the land of baseball,"June 2, 2024  07:47 IST","ReBorn in the USA: Cricket in the land of baseball June 2, 2024  07:47 ISTCricket was so popular in the US once that even George Washington played a form of it but then it became a victim of the Civil War. The immigrants from South Asia and Caribbean didn't let it die, they stood guard for years and then the World Cup happened. Sandip G on cricket's storied life in the land of baseball.","https://images.indianexpress.com/2024/06/Nassau-County-International-Cricket-Stadium.jpg?resize=450,253"
36,"WI vs PNG  Live Streaming,T20 World Cup 2024: When and where to watch West Indies vs Papua New Guinea live?","June 2, 2024  18:09 IST","WI vs PNG  Live Streaming,T20 World Cup 2024: When and where to watch West Indies vs Papua New Guinea live? June 2, 2024  18:09 ISTWest Indies vs Papua New Guinea T20 World Cup 2024 Live Streaming: The Indian Express gives all the live streaming details of game between West Indies and Papua New Guinea from world cup","https://images.indianexpress.com/2024/06/wi-vs-png.jpg?resize=450,253"
37,India submit two bids for hosting World Chess Championship,"June 1, 2024 14:07 IST","India submit two bids for hosting World Chess ChampionshipJune 1, 2024 14:07 ISTIndia's teen prodigy D Gukesh is set to take on defending champion Ding Liren of China in November-December this year.","https://images.indianexpress.com/2024/04/Ding-vs-Gukesh.jpg?resize=450,253"
38,"India vs Germany Highlights, FIH Pro League hockey: Harmanpreet’s men register fine 3-0 win; women go down 1-3","June 1, 2024  23:46 IST","India vs Germany Highlights, FIH Pro League hockey: Harmanpreet’s men register fine 3-0 win; women go down 1-3 June 1, 2024  23:46 ISTIndia vs Germany Highlights, FIH Hockey Pro League 2024: Harmanpreet Singh's men produced a solid showing with two fine field goals in a 3-0 win.","https://images.indianexpress.com/2024/06/New-Project.jpg?resize=450,253"
39,Gautam Gambhir will be a good coach: Sourav Ganguly,"June 1, 2024 13:59 IST","Gautam Gambhir will be a good coach: Sourav GangulyJune 1, 2024 13:59 ISTThe next head coach will begin his tenure soon after the T20 World Cup in the USA and Caribbean next month. The incumbent Rahul Dravid, whose tenure began in December 2021, has decided against seeking an extension","https://images.indianexpress.com/2024/06/gautam-gambhir.jpg?resize=450,253"
40,"‘Rohit Sharma and Virat Kohli open the innings, a left-arm spinner will…’: Irfan Pathan cautions drawbacks of not having left-hander as opener","June 1, 2024  12:57 IST","‘Rohit Sharma and Virat Kohli open the innings, a left-arm spinner will…’: Irfan Pathan cautions drawbacks of not having left-hander as opener June 1, 2024  12:57 ISTAnother former cricketer Sanjay Manjrekar though said he would have gone completely with a ""younger core set of players""","https://images.indianexpress.com/2024/06/virat-kohli-rohit-sharma.jpg?resize=450,253"
41,‘When the time is right’: Chris Woakes posts a heartfelt message on return to international cricket,"June 1, 2024 11:39 IST","‘When the time is right’: Chris Woakes posts a heartfelt message on return to international cricketJune 1, 2024 11:39 ISTThe 35-year-old did not feature for Punjab Kings in the recently concluded Indian Premier League. He was also left out of England's squad for this month's Twenty20 World Cup in the United States and West Indies","https://images.indianexpress.com/2024/06/woakes.jpg?resize=450,253"
42,"Singapore Open 2024 Semifinals Highlights: Treesa-Gayatri go down in straight games, dream run over","June 1, 2024  14:05 IST","Singapore Open 2024 Semifinals Highlights: Treesa-Gayatri go down in straight games, dream run over June 1, 2024  14:05 ISTTreesa-Gayatri's Singapore Open Semifinal Highlights: The Indian pair reached the semifinals in Singapore on the back of two major upsets but fell short at the semifinal hurdle.","https://images.indianexpress.com/2024/06/Singapore-Open-Singapore-Open-2024-Semifinals-Treesa-Jolly-and-Gayatri-Gopichand-vs-Chiharu-Shida-and-Nami-Matsuyama-Indian-womens-doubles-pair-bwf-live-score-Singapore-Open-2024-badminton-Live-score-Singapore-Badmin.jpg?resize=450,253"
43,"Paris Olympics, hockey: Sukhjeet Singh’s miracle – from partial paralysis 6 years ago to being at the heart of India’s attacksSubscriber Only","June 1, 2024  19:14 IST","Paris Olympics, hockey: Sukhjeet Singh’s miracle – from partial paralysis 6 years ago to being at the heart of India’s attacksSubscriber Only June 1, 2024  19:14 ISTSukhjeet Singh remembers a time in 2018 when he was 'bilkul he toot chuka tha'. But, helped by his father's never-give-up passion for his hockey career, today he has made his name by being at the heart of Indian hockey's attacking moves.","https://images.indianexpress.com/2024/06/Sukhjeet-lead.jpg?resize=450,253"
44,"World T20: India no favourites, don’t believe the hype; trust Rohit, he has a planSubscriber Only","June 1, 2024  19:15 IST","World T20: India no favourites, don’t believe the hype; trust Rohit, he has a planSubscriber Only June 1, 2024  19:15 ISTIndia will need to shed its Most Valuable Player culture, and follow the shoot & scoot rule of scoring runs.","https://images.indianexpress.com/2024/06/Rohit-Sharma-newsletter.jpg?resize=450,253"
45,Virat Kohli on importance of T20 World Cup in USA: ‘Tells you about growing impact of the sport in the world’,"June 1, 2024  07:18 IST","Virat Kohli on importance of T20 World Cup in USA: ‘Tells you about growing impact of the sport in the world’ June 1, 2024  07:18 ISTNew York, Texas and Florida will stage 16 matches in the USA. New York will host eight of these matches including the marquee India-Pakistan clash.","https://images.indianexpress.com/2024/05/Kohli-66.jpg?resize=450,253"
46,France arrests teenager for plotting terror attack on football fans at Paris Olympics,"May 31, 2024  23:08 IST","France arrests teenager for plotting terror attack on football fans at Paris Olympics May 31, 2024  23:08 ISTThe man is accused of planning a ""violent action"" on behalf of the Islamic State group’s jihadist ideology, the national counterterrorism prosecutor’s office said in a statement Friday.","https://images.indianexpress.com/2024/05/New-Project-2024-05-31T224954.197.jpg?resize=450,253"
47,Looks quite heavy: Rohit Sharma’s tryst with the NBA trophy ahead of T20 World Cup warm-up match against Bangladesh,"June 1, 2024  07:18 IST","Looks quite heavy: Rohit Sharma’s tryst with the NBA trophy ahead of T20 World Cup warm-up match against Bangladesh June 1, 2024  07:18 IST""My favourite has always been Michael Jordan. What he did for the Chicago Bulls is obviously quite inspiring. And guys like LeBron James, Steph Curry. Those are the guys I love watching them play,"" Rohit said when asked who he thinks of when he looks at the NBA trophy.","https://images.indianexpress.com/2024/05/Rohit-Sharma.jpg?resize=450,253"
48,Champions League Final: Can Mats Hummels stop the snappy pace of Vinicius Jr and oozing class of Jude Bellingham?,"June 1, 2024  09:44 IST","Champions League Final: Can Mats Hummels stop the snappy pace of Vinicius Jr and oozing class of Jude Bellingham? June 1, 2024  09:44 ISTBorussia Dortmund, which miss out often on the big day, have their task cutout against Real Madrid, the 14-time champions.","https://images.indianexpress.com/2024/05/Bellingham.jpg?resize=450,253"
49,Nishant Dev finally wins a Paris Olympics boxing quota for Indian men,"June 1, 2024  09:25 IST","Nishant Dev finally wins a Paris Olympics boxing quota for Indian men June 1, 2024  09:25 ISTOn Friday, with a unanimous 5:0 win over Vasile Cebotari of Moldova in the World Olympic qualifier in Thailand, Nishant won Indian boxing contingent's fourth Olympics quota.","https://images.indianexpress.com/2024/05/New-Project-2024-05-31T210150.478.jpg?resize=450,253"
